地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_男,494,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_女,69,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_竊盜,122,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_故意殺人,1,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_強盜,4,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_搶奪,1,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_擄人勒贖,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_妨害性自主罪,46,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_恐嚇取財,23,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_贓物,1,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_賭博,4,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_傷害,91,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_妨害自由,22,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_公共危險,14,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_駕駛過失,2,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_組織犯罪,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_毒品,40,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_槍砲刀械,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_著作權法,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_偽造文書,1,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_詐欺背信,112,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_毀損損壞,5,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_妨害公務,1,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_性交易,2,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_施用第三、四級毒品,22,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_違反少年事件處理法-其他,23,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_少年(兒童)犯罪類型別-其他,26,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_犯罪家庭,6,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_單親家庭,128,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_寄養,1,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_父母不睦,23,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_孤兒,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_不當管教,259,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_貧窮,31,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_暴力或虐待,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_遺棄,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_家庭因素-其他,115,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_朋友影響,366,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_參加幫派,2,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_傳播影響,52,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_失業,17,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_出入不當場所,47,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_成人誘迫,23,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_社會因素-其他,56,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_老師因素,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_課業因素,56,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_同學因素,146,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_校園暴力,8,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_違反校規,113,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_學校因素-其他,240,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_好奇,37,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_謀財,45,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_即興,37,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_貪心,46,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_缺錢,50,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_仇恨,28,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_衝動,125,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_交友不慎,108,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_金錢誘惑,52,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_藥物成癮,24,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_被脅迫,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_個人因素-其他,11,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
